vendor_pn,brand,oem_display,description,broom_type,broom_type_label,size_in,filament,pattern,compatible_models,model_codes,phase,publish_status,slug,qty
SY11-1307,Advance,11-1307,"Side Broom 13"" 3 S.R. Nylon",side_broom,Side Broom,"13""",Nylon,single_row,560|1800|2060|5100D|5100G|5100P|5100PS|5200G|5200HD|5600|5800B|5800D|5800G|5800P|6250,002|007|013|014,1,pending,advance-11-1307-side-broom-13-nylon,1
SY11-2609,Advance,11-2609,"Main Broom 26"" 18 D.R. Union/Wire",main_broom,Main Broom,"26""",Union/Wire,double_row,360B|360G|360P|3600B,001,1,pending,advance-11-2609-main-broom-26-union-wire,1
SY11-2610,Advance,11-2610,"Main Broom 26"" 6 D.R. Union/Wire",main_broom,Main Broom,"26""",Union/Wire,double_row,360B|360G|360P|3600B,001,1,pending,advance-11-2610-main-broom-26-union-wire,1
SY11-2611,Advance,11-2611,"Main Broom 26"" 9 D.R. Poly",main_broom,Main Broom,"26""",Poly,double_row,360B|360G|360P|3600B,001,1,pending,advance-11-2611-main-broom-26-poly,1
SY11-2740,Advance,11-2740,"Main Scrub 28"" 16 S.R. .070/46 Grit",cylindrical_scrub,Cylindrical Scrub,"28""",.070/46 Grit,single_row,Adgressor 2820|Retriever 2800|Warrior 28C,036,2,pending,advance-11-2740-cylindrical-scrub-28-070-46-grit,2
SY11-2741,Advance,11-2741,"Main Scrub 28"" 16 S.R..050/80 Grit",cylindrical_scrub,Cylindrical Scrub,"28""",.050/80 Grit,single_row,Adgressor 2820|Retriever 2800|Warrior 28C,036,2,pending,advance-11-2741-cylindrical-scrub-28-050-80-grit,2
SY11-2742,Advance,11-2742,"Main Scrub 28"" 16 S.R. .035/180 Grit",cylindrical_scrub,Cylindrical Scrub,"28""",.035/180 Grit,single_row,Adgressor 2820|Retriever 2800|Warrior 28C,036,2,pending,advance-11-2742-cylindrical-scrub-28-035-180-grit,2
SY11-2743,Advance,11-2743,"Main Scrub 28"" 16 S.R. .020 Poly",cylindrical_scrub,Cylindrical Scrub,"28""",Poly,single_row,Adgressor 2820|Retriever 2800|Warrior 28C,036,2,pending,advance-11-2743-cylindrical-scrub-28-poly,2
SY11-2744,Advance,11-2744,"Main Scrub 28"" 16 S.R. .020 Soft Nylon",cylindrical_scrub,Cylindrical Scrub,"28""",Soft Nylon,single_row,Adgressor 2820|Retriever 2800|Warrior 28C,036,2,pending,advance-11-2744-cylindrical-scrub-28-soft-nylon,2
SY11-2745,Advance,11-2745,"Main Scrub 28"" 16 S.R. .028 Nylon",cylindrical_scrub,Cylindrical Scrub,"28""",Nylon,single_row,Adgressor 2820|Retriever 2800|Warrior 28C,036,2,pending,advance-11-2745-cylindrical-scrub-28-nylon,2
SY11-3110,Advance,11-3110,"Main Scrub 32"" 16 S.R. .070/46 Grit",cylindrical_scrub,Cylindrical Scrub,"32""",.070/46 Grit,single_row,Adgressor 3220|Retriever 3200|Warrior 32C,037,2,pending,advance-11-3110-cylindrical-scrub-32-070-46-grit,2
SY11-3111,Advance,11-3111,"Main Scrub 32"" 16 S.R. .050/80 Grit",cylindrical_scrub,Cylindrical Scrub,"32""",.050/80 Grit,single_row,Adgressor 3220|Retriever 3200|Warrior 32C,037,2,pending,advance-11-3111-cylindrical-scrub-32-050-80-grit,2
SY11-3112,Advance,11-3112,"Main Scrub 32"" 16 S.R. .035/180 Grit",cylindrical_scrub,Cylindrical Scrub,"32""",.035/180 Grit,single_row,Adgressor 3220|Retriever 3200|Warrior 32C,037,2,pending,advance-11-3112-cylindrical-scrub-32-035-180-grit,2
SY11-3113,Advance,11-3113,"Main Scrub 32"" 16 S.R. .020 Poly",cylindrical_scrub,Cylindrical Scrub,"32""",Poly,single_row,Adgressor 3220|Retriever 3200|Warrior 32C,037,2,pending,advance-11-3113-cylindrical-scrub-32-poly,2
SY11-3114,Advance,11-3114,"Main Scrub 32"" 16 S.R. .020 Soft Nylon",cylindrical_scrub,Cylindrical Scrub,"32""",Soft Nylon,single_row,Adgressor 3220|Retriever 3200|Warrior 32C,037,2,pending,advance-11-3114-cylindrical-scrub-32-soft-nylon,2
SY11-3115,Advance,11-3115,"Main Scrub 32"" 16 S.R. .028 Nylon",cylindrical_scrub,Cylindrical Scrub,"32""",Nylon,single_row,Adgressor 3220|Retriever 3200|Warrior 32C,037,2,pending,advance-11-3115-cylindrical-scrub-32-nylon,2
SY11-3403,Advance,11-3403,"Main Broom 34"" 6 D.R. Stiff Poly",main_broom,Main Broom,"34""",Stiff Poly,double_row,1600|4600|4600B,005,1,pending,advance-11-3403-main-broom-34-stiff-poly,1
SY11-3404,Advance,11-3404,"Main Broom 34"" 6 D.R. Proex",main_broom,Main Broom,"34""",,double_row,1600|4600|4600B,005,1,pending,advance-11-3404-main-broom-34,1
SY11-3405,Advance,11-3405,"Main Broom 34"" 6 D.R. Union Wire",main_broom,Main Broom,"34""",Wire,double_row,1600|4600|4600B,005,1,pending,advance-11-3405-main-broom-34-wire,1
SY11-3407,Advance,11-3407,"Main Broom 34"" 6 D.R. Extra Stiff Proex",main_broom,Main Broom,"34""",,double_row,1600|4600|4600B,005,1,pending,advance-11-3407-main-broom-34,1
SY11-3411,Advance,11-3411,"Main Scrub 35"" 16 S.R. .070/46 Grit",cylindrical_scrub,Cylindrical Scrub,"35""",.070/46 Grit,single_row,Adgressor 3520,038,2,pending,advance-11-3411-cylindrical-scrub-35-070-46-grit,2
SY11-3412,Advance,11-3412,"Main Scrub 35"" 16 S.R. .050/80 Grit",cylindrical_scrub,Cylindrical Scrub,"35""",.050/80 Grit,single_row,Adgressor 3520,038,2,pending,advance-11-3412-cylindrical-scrub-35-050-80-grit,2
SY11-3413,Advance,11-3413,"Main Scrub 35"" 16 S.R. .035/180 Grit",cylindrical_scrub,Cylindrical Scrub,"35""",.035/180 Grit,single_row,Adgressor 3520,038,2,pending,advance-11-3413-cylindrical-scrub-35-035-180-grit,2
SY11-3414,Advance,11-3414,"Main Scrub 35"" 16 S.R. .020 Poly",cylindrical_scrub,Cylindrical Scrub,"35""",Poly,single_row,Adgressor 3520,038,2,pending,advance-11-3414-cylindrical-scrub-35-poly,2
SY11-3415,Advance,11-3415,"Main Scrub 35"" 16 S.R. .020 Sofy Nylon",cylindrical_scrub,Cylindrical Scrub,"35""",Nylon,single_row,Adgressor 3520,038,2,pending,advance-11-3415-cylindrical-scrub-35-nylon,2
SY11-3416,Advance,11-3416,"Main Scrub 35"" 16 S.R. .028 Nylon",cylindrical_scrub,Cylindrical Scrub,"35""",Nylon,single_row,Adgressor 3520,038,2,pending,advance-11-3416-cylindrical-scrub-35-nylon,2
SY11-3636,Advance,11-3636,"Main Broom 36"" 12 D.R. Stiff Proex/Wire",main_broom,Main Broom,"36""",Proex/Wire,double_row,5200G|5200HD,014,1,pending,advance-11-3636-main-broom-36-proex-wire,1
SY11-3637,Advance,11-3637,"Main Broom 36"" 8 D.R. Stiff Proex",main_broom,Main Broom,"36""",,double_row,5200G|5200HD,014,1,pending,advance-11-3637-main-broom-36,1
SY11-3638,Advance,11-3638,"Main Broom 36"" 12 D.R. Proex/Wire",main_broom,Main Broom,"36""",Proex/Wire,double_row,5200G|5200HD,014,1,pending,advance-11-3638-main-broom-36-proex-wire,1
SY11-3640,Advance,11-3640,"Main Broom 36"" 6 D.R. Stiff Poly",main_broom,Main Broom,"36""",Stiff Poly,double_row,1300|2052|5000|5015,004,1,pending,advance-11-3640-main-broom-36-stiff-poly,1
SY11-3701,Advance,11-3701,"Main Scrub 38"" 16 S.R. .070/46 Grit",cylindrical_scrub,Cylindrical Scrub,"38""",.070/46 Grit,single_row,2042/2042C|Adgressor 3820|Retriever 3800,034|039,2,pending,advance-11-3701-cylindrical-scrub-38-070-46-grit,2
SY11-3702,Advance,11-3702,"Main Scrub 38"" 16 S.R. .050/80 Grit",cylindrical_scrub,Cylindrical Scrub,"38""",.050/80 Grit,single_row,2042/2042C|Adgressor 3820|Retriever 3800,034|039,2,pending,advance-11-3702-cylindrical-scrub-38-050-80-grit,2
SY11-3703,Advance,11-3703,"Main Scrub 38"" 16 S.R. .035/180 Grit",cylindrical_scrub,Cylindrical Scrub,"38""",.035/180 Grit,single_row,2042/2042C|Adgressor 3820|Retriever 3800,034|039,2,pending,advance-11-3703-cylindrical-scrub-38-035-180-grit,2
