brand,model_pattern,code,title,meaning,severity,likely_causes,checks,fixes,provenance
crown,PSI_4.3L,12,End of Fault List,NONE - End of fault list,info,None,None,None,internal:manual
crown,PSI_4.3L,141,ECT Range Low,Coolant Sensor failure or shorted to GND,warn,ECT sensor short to GND|Wiring fault|Faulty sensor,Check ECT wiring for shorts|Inspect sensor connections|Measure sensor resistance,Repair wiring|Replace ECT sensor|Clear fault code,internal:manual
crown,PSI_4.3L,151,ECT Range High,Coolant sensor disconnected or open circuit,critical,Open circuit|Disconnected sensor|Broken wiring,Check ECT connections|Test for open circuit|Inspect wiring continuity,Reconnect sensor|Repair wiring|Replace sensor,internal:manual
crown,PSI_4.3L,161,ECT Over Temperature,High coolant temperature detected,critical,Overheating|Coolant leak|Sensor short to GND,Inspect coolant system|Check for leaks|Test ECT sensor,Add coolant|Repair leaks|Replace sensor,internal:manual
crown,PSI_4.3L,171,ECT Irrational,Coolant temp not changing as expected,warn,Thermostat failure|Coolant circulation issue|Sensor drift,Check thermostat operation|Inspect coolant flow|Test sensor response,Replace thermostat|Flush coolant system|Replace sensor,internal:manual
crown,PSI_4.3L,181,Fuel Select Conflict,Fuel select signals shorted together,warn,Fuel switch wiring short|Switch malfunction|Connector corrosion,Check fuel switch wiring|Inspect switch|Test for shorts,Repair wiring|Replace fuel switch|Clean connectors,internal:manual
crown,PSI_4.3L,193,Crank Edges Fault,No crank signal during engine rotation,fault,Crankshaft sensor disconnected|Sensor defect|Broken wiring,Check crankshaft sensor connections|Test sensor signal|Inspect encoder wheel,Reconnect sensor|Replace sensor|Repair wiring,internal:manual
crown,PSI_4.3L,194,Crank Sync Fault,Loss of crankshaft synchronization,fault,Crankshaft sensor fault|Encoder wheel damage|Wiring issue,Check sensor installation|Inspect encoder wheel|Test wiring continuity,Reinstall sensor|Replace encoder|Repair wiring,internal:manual
crown,PSI_4.3L,221,TPS1 Range Low,TPS1 voltage below expected range,warn,TPS1 short to GND|Throttle body fault|Wiring issue,Check TPS1 wiring|Inspect throttle body|Measure sensor voltage,Repair wiring|Replace throttle body|Clear fault,internal:manual
crown,PSI_4.3L,222,TPS2 Range Low,TPS2 voltage below expected range,warn,TPS2 short to GND|Throttle body fault|Wiring issue,Check TPS2 wiring|Inspect throttle body|Measure sensor voltage,Repair wiring|Replace throttle body|Clear fault,internal:manual
crown,PSI_4.3L,231,TPS1 Range High,TPS1 voltage above expected range,warn,TPS1 short to power|Open circuit|Wiring fault,Check TPS1 wiring for shorts|Test sensor voltage|Inspect connections,Repair wiring|Replace throttle body|Clear fault,internal:manual
crown,PSI_4.3L,232,TPS2 Range High,TPS2 voltage above expected range,warn,TPS2 short to power|Open circuit|Wiring fault,Check TPS2 wiring for shorts|Test sensor voltage|Inspect connections,Repair wiring|Replace throttle body|Clear fault,internal:manual
crown,PSI_4.3L,241,TPS1 Adapt Low Min,Closed throttle TPS1 range too low,warn,Throttle connector issue|Pin corrosion|Sensor drift,Check throttle connector|Inspect pins|Measure resistance,Clean connector|Replace throttle body|Recalibrate,internal:manual
crown,PSI_4.3L,242,TPS2 Adapt Low Min,Closed throttle TPS2 range too low,warn,Throttle connector issue|Pin corrosion|Sensor drift,Check throttle connector|Inspect pins|Measure resistance,Clean connector|Replace throttle body|Recalibrate,internal:manual
crown,PSI_4.3L,251,TPS1 Adapt High Max,WOT TPS1 range too high,warn,Throttle corrosion|Sensor drift|Calibration issue,Check throttle for corrosion|Inspect sensor|Test voltage at WOT,Clean throttle|Replace throttle body|Recalibrate,internal:manual
crown,PSI_4.3L,252,TPS2 Adapt High Max,WOT TPS2 range too high,warn,Throttle corrosion|Sensor drift|Calibration issue,Check throttle for corrosion|Inspect sensor|Test voltage at WOT,Clean throttle|Replace throttle body|Recalibrate,internal:manual
crown,PSI_4.3L,271,TPS1 Adapt High Min,WOT TPS1 range too low,fault,Throttle mechanical failure|Binding|Obstruction,Check throttle operation|Inspect for binding|Test full range,Remove obstruction|Replace throttle assembly|Lubricate,internal:manual
crown,PSI_4.3L,272,TPS2 Adapt High Min,WOT TPS2 range too low,fault,Throttle mechanical failure|Binding|Obstruction,Check throttle operation|Inspect for binding|Test full range,Remove obstruction|Replace throttle assembly|Lubricate,internal:manual
crown,PSI_4.3L,281,TPS1 Adapt Low Max,Closed throttle TPS1 range too high,warn,TPS1 voltage issue|Calibration drift|Sensor fault,Check TPS1 voltage at closed throttle|Test sensor|Inspect wiring,Recalibrate|Replace throttle body|Repair wiring,internal:manual
