cue,family,notes,example_models
3CX,Backhoe Loader,"Mainline backhoe family","3CX, 3CX Eco"
4CX,Backhoe Loader,"Larger backhoe family","4CX"
LOADALL,Telehandler (Loadall),"Generic Loadall cue","Loadall 531-70/535-95/540-170"
531-70,Telehandler (Loadall),"Common Loadall model","531-70"
535-95,Telehandler (Loadall),"Common Loadall model","535-95"
540-170,Telehandler (Loadall),"Common Loadall model","540-170"
JS,Excavator,"JS tracked excavators","JS200, JS210, JS220, JS235"
220X,Excavator,"X-series tracked excavators","220X"
150T,Skid Steer / CTL,"CTL/skid line","150T"
190T,Skid Steer / CTL,"CTL/skid line","190T"
3TS,Skid Steer / CTL,"Teleskid","3TS-8T"
411,Wheel Loader,"Wheel loader line","411"
427,Wheel Loader,"Wheel loader line","427"
457,Wheel Loader,"Wheel loader line","457"
TM,Telescopic Wheel Loader,"TM-series","TM320, TM321"
