cue,family,notes,example_models
SVL97-3,Compact Track Loader,"SVL -3 series CTL",SVL97-3
SVL75-3,Compact Track Loader,"SVL -3 series CTL",SVL75-3
SVL95-2,Compact Track Loader,"SVL -2 series CTL (legacy current)",SVL95-2
SVL75-2,Compact Track Loader,"SVL -2 series CTL (legacy)",SVL75-2
SVL65-2,Compact Track Loader,"SVL -2 series CTL",SVL65-2
SSV75,Skid Steer Loader,"SSV skid steer",SSV75
SSV65,Skid Steer Loader,"SSV skid steer",SSV65
KX080-4,Compact Excavator,"KX excavator",KX080-4
KX057-5,Compact Excavator,"KX excavator",KX057-5
KX057-4,Compact Excavator,"KX excavator (legacy)",KX057-4
KX040-4,Compact Excavator,"KX excavator",KX040-4
KX033-4,Compact Excavator,"KX excavator",KX033-4
U55-5,Compact Excavator,"U excavator",U55-5
U48-5,Compact Excavator,"U excavator",U48-5
U35-4,Compact Excavator,"U excavator",U35-4
U27-4,Compact Excavator,"U excavator",U27-4
U17,Compact Excavator,"U excavator",U17
R640,Wheel Loader,"R wheel loader",R640
R540,Wheel Loader,"R wheel loader",R540
R430,Wheel Loader,"R wheel loader",R430
L47,Tractor Loader Backhoe,"TLB",L47
M62,Tractor Loader Backhoe,"TLB",M62
