cue,family,notes,example_models
TB28J Plus,Telescopic Boom,"TB 'Plus' telescopic boom",TB28J Plus
TB20J Plus,Telescopic Boom,"TB 'Plus' telescopic boom",TB20J Plus
TB18 Plus,Telescopic Boom,"TB 'Plus' telescopic boom",TB18 Plus
AB22EJ Plus,Articulated Boom,"EJ Plus articulated boom",AB22EJ Plus
AB18EJ Plus,Articulated Boom,"EJ Plus articulated boom",AB18EJ Plus
AB16EJ Plus,Articulated Boom,"EJ Plus articulated boom",AB16EJ Plus
4047E,Scissor Lift,"Wide electric scissor family",4047E
3346E,Scissor Lift,"Wide electric scissor family",3346E
2746E,Scissor Lift,"Wide electric scissor family",2746E
2146E,Scissor Lift,"Wide electric scissor family",2146E
1932ME,Scissor Lift,"Compact electric scissor",1932ME
1532ME,Scissor Lift,"Compact electric scissor",1532ME
1930SE,Scissor Lift,"Narrow electric scissor",1930SE
1530SE,Scissor Lift,"Narrow electric scissor",1530SE
0608SE,Scissor Lift,"Micro/compact scissor",0608SE
0408SE,Scissor Lift,"Micro/compact scissor",0408SE
0608ME,Scissor Lift,"Micro/compact scissor",0608ME
0408ME,Scissor Lift,"Micro/compact scissor",0408ME
