voltage,speed,phase,target_amps,total,best,alt,first_slug
24,overnight,1P,60,0,0,0,
24,overnight,3P,60,0,0,0,
24,overnight,—,60,0,0,0,
24,fast,1P,120,0,0,0,
24,fast,3P,120,0,0,0,
24,fast,—,120,0,0,0,
36,overnight,1P,75,0,0,0,
36,overnight,3P,75,0,0,0,
36,overnight,—,75,0,0,0,
36,fast,1P,150,0,0,0,
36,fast,3P,150,0,0,0,
36,fast,—,150,0,0,0,
48,overnight,1P,75,0,0,0,
48,overnight,3P,75,0,0,0,
48,overnight,—,75,0,0,0,
48,fast,1P,150,0,0,0,
48,fast,3P,150,0,0,0,
48,fast,—,150,0,0,0,
80,overnight,1P,100,0,0,0,
80,overnight,3P,100,0,0,0,
80,overnight,—,100,0,0,0,
80,fast,1P,200,0,0,0,
80,fast,3P,200,0,0,0,
80,fast,—,200,0,0,0,
